Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Multi-family home for sale,1200.0,6,6,5712,New York,Queens,40.7023326,-73.8891107,0,11
House for sale,911.6,3,2,1596,New York,Queens,40.7685072,-73.8246067,0,11
House for sale,598.0,3,2,1144,New York,The Bronx,40.87796,-73.9011666,0,16
Condo for sale,472.0,1,1,700,Queens County,Elmhurst,40.73531,-73.8812513,5,9
House for sale,549.0,1,2,2184,New York,Queens,40.669243,-73.809973,0,11
Condo for sale,472.0,1,1,700,Queens County,Elmhurst,40.73531,-73.8812513,5,9
House for sale,598.0,3,2,1144,New York,The Bronx,40.87796,-73.9011666,0,16
House for sale,1085.0,5,3,1200,New York,Brooklyn,40.618311,-73.997597,0,3
Multi-family home for sale,680.0,3,2,1535,New York,Brooklyn,40.6713695,-73.869277,0,3
Condo for sale,200.0,1,2,637,New York,The Bronx,40.8389649,-73.8613485,0,16
Co-op for sale,210.0,2,1,1000,Queens County,Flushing,40.734848,-73.8232512,5,8
Townhouse for sale,525.0,2,2,996,New York,Staten Island,40.546286,-74.195582,0,1
Multi-family home for sale,999.0,5,3,2184,New York,Brooklyn,40.6207744,-73.9055089,0,3
Multi-family home for sale,1799.0,3,1,5400,Richmond County,New Dorp,40.5767317,-74.1187369,6,71
Townhouse for sale,1900.0,9,5,5000,New York,New York,40.8082842,-73.9412356,0,2
House for sale,519.0,3,2,1200,New York,Queens,40.651735,-73.830298,0,11
House for sale,728.9,4,1,960,New York,Staten Island,40.6163157,-74.1248333,0,1
Co-op for sale,549.0,2,1,2184,New York,Queens,40.7201292,-73.8398387,0,11
Pending,2300.0,6,2,4346,New York,Staten Island,40.5274146,-74.179841,0,1
Co-op for sale,299.999,2,2,1300,Queens County,Bayside,40.7808597,-73.7834998,5,39
Pending,1800.0,7,4,2832,New York,Brooklyn,40.6331671,-73.9597006,0,3
Co-op for sale,1195.0,2,2,2184,New York County,Manhattan,40.7361476,-73.9955368,1,4
Co-op for sale,200.0,1,1,2184,Queens County,Elmhurst,40.7304899,-73.8735933,5,9
Pending,2300.0,6,2,4346,New York,Staten Island,40.5274146,-74.179841,0,1
Pending,1800.0,7,4,2832,New York,Brooklyn,40.6331671,-73.9597006,0,3
Co-op for sale,299.999,2,2,1300,Queens County,Bayside,40.7808597,-73.7834998,5,39
Condo for sale,599.0,2,2,1095,Kings County,Coney Island,40.5784256,-73.9853674,3,100
Co-op for sale,1775.0,2,2,2184,New York County,Manhattan,40.7261696,-74.0013901,1,4
Multi-family home for sale,1059.0,6,3,2184,New York,Brooklyn,40.6830732,-73.8797396,0,3
House for sale,1288.888,3,4,1672,New York,Staten Island,40.6069525,-74.1016936,0,1
Multi-family home for sale,1299.999,8,4,3448,New York,Brooklyn,40.6259736,-73.9141206,0,3
House for sale,1399.999,3,2,2700,New York,Staten Island,40.5116874,-74.2388187,0,1
House for sale,725.0,3,2,2410,New York,The Bronx,40.8965547,-73.8476725,0,16
Co-op for sale,232.5,1,1,2184,Queens County,Kew Gardens,40.7121373,-73.8277084,5,45
Co-op for sale,250.0,3,1,2184,New York County,Manhattan,40.7992319,-73.9526079,1,4
House for sale,639.0,2,2,862,New York,Brooklyn,40.6175251,-73.9255226,0,3
House for sale,950.0,4,4,2060,New York,Queens,40.7884912,-73.8515778,0,11
Co-op for sale,430.0,2,1,2184,Queens County,Flushing,40.7472542,-73.8978152,5,8
Co-op for sale,299.0,3,1,2184,United States,New York County,40.7488491,-73.9716161,7,76
Co-op for sale,279.0,3,1,1400,New York,The Bronx,40.8563536,-73.865974,0,16
House for sale,1725.0,3,2,1508,New York,Brooklyn,40.6208655,-74.036863,0,3
Multi-family home for sale,1698.0,4,4,3620,New York,Staten Island,40.5357703,-74.1849822,0,1
House for sale,438.0,2,2,1354,New York,Staten Island,40.5628043,-74.1853825,0,1
Co-op for sale,100.0,3,1,512,Queens County,Far Rockaway,40.6042895,-73.7478287,5,107
Co-op for sale,299.0,1,1,2184,Queens County,Jackson Heights,40.7490984,-73.8849909,5,18
Condo for sale,625.0,2,2,995,Queens County,Bayside,40.7780359,-73.7808993,5,39
House for sale,350.0,3,2,1520,New York,Brooklyn,40.6758271,-73.8828978,0,3
Co-op for sale,699.999,3,2,2184,Kings County,Crown Heights,40.6672186,-73.9566539,3,70
Co-op for sale,529.0,1,1,2184,New York County,Manhattan,40.7371253,-73.9806613,1,4
House for sale,599.0,3,2,1208,New York,Queens,40.6892122,-73.8634426,0,11
Co-op for sale,279.9,1,1,900,Bronx County,Concourse Village,40.8301222,-73.9202611,4,7
Co-op for sale,165.0,1,1,875,Bronx County,East Bronx,40.8994229,-73.8706379,4,49
Co-op for sale,270.0,1,1,2184,Kings County,Bensonhurst,40.6047809,-73.9920476,3,97
Condo for sale,625.0,2,1,825,Queens County,Long Island City,40.744346,-73.957101,5,86
Co-op for sale,279.9,1,1,900,Bronx County,Concourse Village,40.8301222,-73.9202611,4,7
Pending,1970.0,4,4,3111,New York,Queens,40.7800183,-73.7514697,0,11
Multi-family home for sale,580.0,5,2,1780,New York,Brooklyn,40.5874424,-73.9675716,0,3
Condo for sale,979.0,3,2,1272,Kings County,Bay Ridge,40.6295982,-74.0275565,3,37
Co-op for sale,269.0,2,1,2184,New York County,Manhattan,40.8099353,-73.9377818,1,4
House for sale,1700.0,3,4,2184,New York,Queens,40.6693668,-73.7996259,0,11
Co-op for sale,499.0,2,2,2184,New York County,Manhattan,40.7762825,-73.9453865,1,4
House for sale,1699.888,3,3,2275,New York,Queens,40.6556445,-73.848959,0,11
House for sale,3100.0,6,4,2184,New York,Queens,40.6021451,-73.7401761,0,11
House for sale,499.0,4,2,1752,New York,The Bronx,40.8717268,-73.9050847,0,16
Multi-family home for sale,1250.0,6,2,3312,New York,Queens,40.7459265,-73.868944,0,11
Co-op for sale,245.0,2,1,900,Kings County,Gerritsen Beach,40.6014996,-73.9324298,3,69
House for sale,2350.0,5,4,4270,New York,Staten Island,40.5251737,-74.2176044,0,1
Co-op for sale,425.0,3,1,450,New York County,Manhattan,40.7464807,-74.0018835,1,4
House for sale,799.0,3,2,2340,New York,Staten Island,40.5887913,-74.1444799,0,1
Multi-family home for sale,725.0,4,2,1700,New York,Brooklyn,40.6681943,-73.8749046,0,3
Pending,3100.0,4,2,3600,New York,Queens,40.7956412,-73.8246757,0,11
House for sale,1499.999,5,3,2184,New York,Queens,40.695043,-73.832656,0,11
House for sale,1250.0,4,3,2184,New York,Queens,40.7684367,-73.7969886,0,11
House for sale,1199.0,4,1,1840,New York,Brooklyn,40.6165131,-74.0045846,0,3
Condo for sale,719.0,3,2,2184,Queens County,Beechhurst,40.7964178,-73.8058096,5,108
Co-op for sale,169.0,3,1,2184,Queens County,Forest Hills,40.7205894,-73.8359422,5,15
Co-op for sale,99.0,1,1,850,Bronx County,Highbridge,40.83645,-73.924271,4,42
House for sale,399.0,3,2,1601,New York,Queens,40.7115495,-73.7464296,0,11
Condo for sale,1300.0,2,2,1140,New York County,Manhattan,40.7945469,-73.9649582,1,4
Multi-family home for sale,888.0,5,4,2184,New York,Brooklyn,40.6741308,-73.8908415,0,3
Multi-family home for sale,1308.888,4,3,2184,New York,Queens,40.7836228,-73.8141298,0,11
House for sale,1265.0,3,2,2184,New York,Queens,40.7151328,-73.8834603,0,11
Condo for sale,558.0,1,1,751,Kings County,Fort Hamilton,40.619526,-74.0311577,3,12
House for sale,1280.0,4,2,2340,New York,Queens,40.7690548,-73.7444989,0,11
Co-op for sale,429.0,2,2,1450,The Bronx,Henry Hudson Parkway,40.8868607,-73.9129726,2,109
Condo for sale,399.9,2,2,853,Richmond County,New Springville,40.5803785,-74.1578058,6,94
House for sale,499.9,3,1,1040,New York,Staten Island,40.6281869,-74.1606727,0,1
Co-op for sale,429.0,2,2,1450,The Bronx,Henry Hudson Parkway,40.8868607,-73.9129726,2,109
Multi-family home for sale,2489.0,4,4,2334,New York,Brooklyn,40.671985,-73.9889397,0,3
Condo for sale,255.5,1,1,950,Richmond County,Rosebank,40.6077498,-74.0743086,6,110
Condo for sale,395.0,3,1,2184,New York County,Manhattan,40.778484,-73.9524912,1,4
Multi-family home for sale,1090.0,5,3,2184,New York,Queens,40.7922364,-73.8405165,0,11
Multi-family home for sale,471.3,4,2,2175,New York,Brooklyn,40.6629386,-73.8878146,0,3
House for sale,1089.0,4,2,1720,New York,Brooklyn,40.6275081,-74.018889,0,3
Co-op for sale,220.0,1,1,500,Kings County,Crown Heights,40.6699448,-73.9429395,3,70
Co-op for sale,295.0,2,1,950,New York,Queens,40.6778447,-73.7335012,0,11
House for sale,1375.0,5,4,2704,New York,Staten Island,40.606711,-74.1447092,0,1
Co-op for sale,399.0,2,2,1050,Kings County,Coney Island,40.5776924,-73.9737314,3,100
Co-op for sale,219.999,2,1,800,Bronx County,Kingsbridge,40.8833792,-73.907461,4,111
Co-op for sale,129.0,3,1,2184,Queens County,Jamaica,40.7104509,-73.7982064,5,35
Co-op for sale,329.0,1,1,2184,Queens County,Woodside,40.739059,-73.9229803,5,87
House for sale,639.0,4,2,1856,New York,Staten Island,40.5774962,-74.1181004,0,1
Contingent,750.0,4,4,1240,New York,Staten Island,40.5546832,-74.1780566,0,1
House for sale,499.999,3,2,1763,New York,Staten Island,40.6175808,-74.0858322,0,1
Co-op for sale,560.0,2,2,2184,Queens County,Forest Hills,40.7223099,-73.84153,5,15
Townhouse for sale,1268.0,3,2,1513,New York,Queens,40.7240812,-73.8521227,0,11
House for sale,1899.0,7,4,2800,New York,Brooklyn,40.6049921,-73.9106532,0,3
Co-op for sale,129.0,3,1,2184,Queens County,Jamaica,40.7104509,-73.7982064,5,35
Co-op for sale,888.0,3,2,1600,Queens County,Forest Hills,40.724514,-73.8458441,5,15
Multi-family home for sale,2100.0,20,8,7200,New York,Brooklyn,40.6330213,-74.0274188,0,3
House for sale,2900.0,5,2,6707,New York,Staten Island,40.6000344,-74.1064235,0,1
House for sale,1250.0,4,2,2184,New York,Queens,40.7562704,-73.8180817,0,11
Condo for sale,1078.0,3,2,2184,Queens County,Forest Hills,40.7270139,-73.8523359,5,15
House for sale,3200.0,4,4,2950,New York,Brooklyn,40.6286854,-74.0372417,0,3
Co-op for sale,555.555,1,1,2184,New York County,Manhattan,40.7914938,-73.9756337,1,4
Co-op for sale,293.9,1,1,2184,Queens County,Jackson Heights,40.7512505,-73.8814433,5,18
House for sale,1175.0,3,2,1192,New York,Brooklyn,40.6369819,-74.0276787,0,3
Land for sale,160.0,3,2,2184,New York,Queens,40.7066981,-73.7439122,0,11
Contingent,999.999,3,2,1880,New York,Brooklyn,40.6325838,-74.0194607,0,3
House for sale,1448.0,5,4,2000,New York,Queens,40.735335,-73.7142031,0,11
House for sale,2950.0,6,5,5436,New York,Brooklyn,40.6037688,-73.9113665,0,3
Co-op for sale,150.0,3,1,600,Queens County,Corona,40.7364499,-73.8584826,5,95
Condo for sale,354.9,2,1,673,Kings County,Bay Ridge,40.6343667,-74.0311335,3,37
Condo for sale,580.0,2,2,2184,New York,Queens,40.7510826,-73.8738365,0,11
House for sale,969.0,3,2,1776,New York,Queens,40.7165988,-73.883495,0,11
Condo for sale,530.0,1,1,538,New York,Brooklyn,40.5954596,-73.9968422,0,3
Condo for sale,624.999,3,2,2184,Kings County,Bergen Beach,40.6283771,-73.9175027,3,112
House for sale,551.0,3,2,2184,New York,Brooklyn,40.6214749,-73.932287,0,3
House for sale,450.0,3,2,1122,New York,The Bronx,40.8408308,-73.7856681,0,16
Condo for sale,475.0,2,1,1296,New York,Staten Island,40.5527755,-74.1539297,0,1
Condo for sale,995.0,3,2,2184,New York County,Manhattan,40.7974456,-73.9620195,1,4
Co-op for sale,650.0,1,1,2184,New York County,Manhattan,40.7582795,-73.9624506,1,4
Co-op for sale,250.0,2,1,2184,Queens County,Woodhaven,40.700309,-73.8535466,5,33
Co-op for sale,125.0,3,1,600,Bronx County,Pelham Bay,40.8455961,-73.8264218,4,60
Co-op for sale,2200.0,3,3,2195,New York County,Manhattan,40.7904197,-73.966175,1,4
Condo for sale,925.0,2,1,2184,New York County,Manhattan,40.7213854,-73.9939529,1,4
House for sale,639.0,3,2,2184,New York,Brooklyn,40.6214608,-73.905805,0,3
House for sale,215.0,3,2,1509,New York,Queens,40.6982271,-73.7605874,0,11
House for sale,2050.0,6,6,5600,New York,Staten Island,40.5856353,-74.1068594,0,1
Co-op for sale,279.0,2,2,1050,New York,The Bronx,40.898666,-73.8738365,0,16
Condo for sale,785.0,2,2,968,Kings County,Bath Beach,40.6039146,-73.9980848,3,80
House for sale,669.0,3,2,1312,New York,Staten Island,40.6013797,-74.1380964,0,1
Multi-family home for sale,681.0,6,3,2184,New York,Brooklyn,40.6648825,-73.8826911,0,3
Multi-family home for sale,530.0,2,2,1672,New York,Staten Island,40.6268626,-74.1476451,0,1
Condo for sale,1700.0,2,2,1580,Kings County,Crown Heights,40.6763522,-73.9543474,3,70
Co-op for sale,339.0,1,1,1085,Kings County,Fort Hamilton,40.6171201,-74.0385203,3,12
House for sale,800.0,3,2,1224,New York,Brooklyn,40.6125589,-73.9230425,0,3
Co-op for sale,189.0,1,1,700,Bronx County,North Riverdale,40.906568,-73.8968047,4,13
Contingent,835.0,5,2,2050,New York,Staten Island,40.5582716,-74.1160817,0,1
House for sale,999.999,2,2,1198,New York County,Manhattan,40.7803429,-73.947266,1,4
Condo for sale,575.0,3,2,877,Queens County,Ridgewood,40.7019793,-73.8942094,5,113
Pending,349.75,1,1,2184,Kings County,Park Slope,40.6585622,-73.9825211,3,29
Co-op for sale,385.0,1,1,2184,New York,New York,40.8522694,-73.939181,0,2
Pending,324.9,2,2,1100,Bronx County,North Riverdale,40.9057959,-73.90002,4,13
Co-op for sale,175.0,3,1,2184,Kings County,Kensington,40.6329634,-73.9709274,3,55
Multi-family home for sale,915.999,5,3,2184,New York,Queens,40.7618985,-73.8758538,0,11
Multi-family home for sale,1850.0,12,8,5250,New York,Brooklyn,40.6074371,-73.9588281,0,3
Pending,324.9,2,2,1100,Bronx County,North Riverdale,40.9057959,-73.90002,4,13
Multi-family home for sale,1850.0,12,8,5250,New York,Brooklyn,40.6074371,-73.9588281,0,3
Co-op for sale,175.0,1,1,800,Bronx County,West Bronx,40.8742949,-73.883753,4,72
Pending,850.0,2,1,775,New York County,Manhattan,40.7274335,-73.9892241,1,4
House for sale,729.0,4,2,2184,New York,Queens,40.6917538,-73.7370978,0,11
Co-op for sale,480.0,2,1,2184,Queens County,Forest Hills,40.7291499,-73.84944,5,15
Townhouse for sale,1198.0,4,2,2184,New York,Queens,40.7129312,-73.8561994,0,11
House for sale,1848.0,6,2,3676,New York,Brooklyn,40.6386251,-73.9591955,0,3
Co-op for sale,285.0,1,1,750,Kings County,Midwood,40.6195811,-73.9706361,3,6
Multi-family home for sale,849.0,5,3,2460,New York,Queens,40.5939428,-73.7748361,0,11
House for sale,549.0,3,2,1250,New York,The Bronx,40.8515331,-73.9197862,0,16
Co-op for sale,729.0,2,2,1700,Queens County,Glen Oaks,40.7577991,-73.7159564,5,40
Co-op for sale,199.999,1,1,2184,Queens County,Bayside,40.762788,-73.7768814,5,39
Multi-family home for sale,600.0,4,2,1728,New York,The Bronx,40.896179,-73.839487,0,16
House for sale,599.0,3,1,1340,New York,Queens,40.6860975,-73.7998859,0,11
Multi-family home for sale,599.0,5,2,2268,New York,Brooklyn,40.6835248,-73.9141078,0,3
Condo for sale,725.0,3,2,1185,Kings County,Midwood,40.6172572,-73.9611011,3,6
Multi-family home for sale,1295.0,3,2,2600,New York,Brooklyn,40.609816,-73.9084026,0,3
Multi-family home for sale,798.888,3,2,1500,New York,Staten Island,40.5474933,-74.2098503,0,1
House for sale,529.0,3,1,1800,New York,Queens,40.7212998,-73.7544395,0,11
Multi-family home for sale,999.998,3,2,2400,New York,Staten Island,40.5114943,-74.2382685,0,1
Pending,499.0,1,1,615,New York County,Manhattan,40.8138919,-73.9476673,1,4
Multi-family home for sale,1550.0,12,7,3000,New York,Staten Island,40.5083446,-74.2299349,0,1
Co-op for sale,319.0,2,1,2184,Queens County,Forest Hills,40.7230399,-73.85628,5,15
Contingent,759.0,3,4,1424,New York,Staten Island,40.552359,-74.14076,0,1
Co-op for sale,245.0,3,1,260,New York County,Manhattan,40.748134,-73.9708805,1,4
Multi-family home for sale,1249.0,5,3,1548,New York,Brooklyn,40.5946329,-73.9779295,0,3
Condo for sale,455.0,2,1,939,Richmond County,Oakwood,40.5599528,-74.1198255,6,114
Co-op for sale,319.0,2,1,2184,Queens County,Forest Hills,40.7230399,-73.85628,5,15
Multi-family home for sale,999.9,4,2,2024,New York,Brooklyn,40.6101839,-74.009209,0,3
House for sale,395.0,2,1,666,New York,Staten Island,40.5724498,-74.0909716,0,1
Condo for sale,620.0,1,1,430,New York County,Manhattan,40.7774399,-73.9793101,1,4
Multi-family home for sale,1295.0,4,2,3264,New York,Staten Island,40.5389259,-74.195072,0,1
Condo for sale,849.0,3,2,1241,Kings County,Gravesend,40.604405,-73.9751935,3,74
Co-op for sale,650.0,3,1,2184,Kings County,Clinton Hill,40.6837918,-73.9631445,3,115
Condo for sale,2995.0,2,2,1452,New York County,Manhattan,40.7803919,-73.9558923,1,4
Condo for sale,495.0,2,1,800,Queens County,Richmond Hill,40.7045515,-73.8356118,5,116
House for sale,675.0,3,2,1222,New York,Staten Island,40.6277171,-74.0860272,0,1
Condo for sale,999.0,3,1,600,New York County,Manhattan,40.7717454,-73.9900505,1,4
Condo for sale,2250.0,2,2,1334,New York,Brooklyn,40.6819719,-73.9903277,0,3
Multi-family home for sale,1299.0,9,4,3720,New York,The Bronx,40.8227297,-73.8517272,0,16
Condo for sale,429.0,1,1,640,Brooklyn,Surf Avenue,40.5755355,-73.9735905,8,83
House for sale,649.999,3,2,2184,New York,Queens,40.6670008,-73.7409018,0,11
Townhouse for sale,2050.0,5,4,3000,New York,Brooklyn,40.6586603,-73.9595973,0,3
Pending,1299.0,4,2,1456,New York County,Manhattan,40.8040587,-73.9487622,1,4
House for sale,1075.0,6,2,2200,New York,Brooklyn,40.6141979,-73.9591151,0,3
Co-op for sale,174.0,1,1,800,Kings County,Sheepshead Bay,40.5997081,-73.9344974,3,43
House for sale,1193.0,2,2,1518,New York,Staten Island,40.5839283,-74.1113788,0,1
House for sale,898.0,5,4,2828,New York,Brooklyn,40.6816001,-73.8948525,0,3
Multi-family home for sale,1288.0,5,3,1500,New York,Queens,40.7849809,-73.8178033,0,11
House for sale,1749.999,4,4,2600,New York,Staten Island,40.595688,-74.0982331,0,1
Condo for sale,575.0,2,2,1253,Queens County,Far Rockaway,40.5824866,-73.8213437,5,107
Condo for sale,2000.0,1,2,1321,New York County,Manhattan,40.7159753,-74.0083683,1,4
Co-op for sale,170.0,2,1,850,Bronx County,Norwood,40.8813916,-73.8757001,4,81
Co-op for sale,1295.0,2,2,2100,Kings County,Brooklyn Heights,40.702334,-73.9937463,3,52
House for sale,749.0,3,2,1332,New York,Staten Island,40.6333903,-74.0969828,0,1
Multi-family home for sale,1848.0,3,4,3640,New York,Brooklyn,40.607214,-73.9998636,0,3
Co-op for sale,465.0,2,2,2184,New York County,Manhattan,40.754032,-73.965157,1,4
Co-op for sale,298.999,2,1,2184,New York,Queens,40.7317712,-73.739171,0,11
Co-op for sale,209.9,1,1,780,Kings County,Sheepshead Bay,40.586901,-73.932949,3,43
Co-op for sale,539.0,1,1,2184,Kings County,Flatbush,40.6419847,-73.9614428,3,31
House for sale,2975.0,3,2,2184,New York,Brooklyn,40.674276,-73.9626129,0,3
Multi-family home for sale,2099.0,6,5,2184,New York,Queens,40.7308373,-73.8599677,0,11
Co-op for sale,199.9,1,1,925,Bronx County,Fordham Manor,40.863113,-73.8983227,4,98
Co-op for sale,789.0,2,1,2184,New York County,Manhattan,40.7707244,-73.9533267,1,4
House for sale,919.0,3,2,1565,New York,Brooklyn,40.6335949,-73.9678166,0,3
House for sale,815.599,3,2,2184,New York,Brooklyn,40.6254509,-73.9395115,0,3
Multi-family home for sale,1050.0,4,4,3305,New York,Staten Island,40.5209862,-74.2084631,0,1
Co-op for sale,289.999,1,1,830,Bronx County,Spuyten Duyvil,40.8799897,-73.919862,4,36
Multi-family home for sale,1998.0,6,3,3192,New York,Brooklyn,40.631406,-74.0193512,0,3
Condo for sale,1250.0,3,2,1281,New York County,Manhattan,40.7308035,-73.9808981,1,4
Condo for sale,680.0,2,2,1058,Queens County,Flushing,40.7942255,-73.7950678,5,8
House for sale,1299.0,4,2,2184,New York,Brooklyn,40.6147583,-73.9849887,0,3
Multi-family home for sale,899.0,4,2,2184,New York,Queens,40.6803198,-73.8281794,0,11
Condo for sale,845.0,3,2,2184,Queens County,Kew Gardens,40.7095418,-73.8286658,5,45
House for sale,2098.0,5,4,1200,New York,Queens,40.7928436,-73.8190811,0,11
Co-op for sale,899.0,2,2,1300,Kings County,Fort Hamilton,40.620502,-74.0396973,3,12
House for sale,758.888,3,1,2184,New York,Queens,40.7676985,-73.7850344,0,11
Co-op for sale,650.0,2,1,2184,New York County,Manhattan,40.798761,-73.9721556,1,4
Co-op for sale,169.0,1,1,850,Queens County,Jamaica,40.7106599,-73.7986899,5,35
Multi-family home for sale,1350.0,5,3,2184,New York,Queens,40.728555,-73.8780858,0,11
Co-op for sale,695.0,2,2,2184,Queens County,Flushing,40.7507718,-73.8890157,5,8
Multi-family home for sale,1499.0,5,2,2280,New York,Brooklyn,40.6852121,-73.9131299,0,3
Pending,395.0,3,2,381,Kings County,Dumbo,40.7028922,-73.9860614,3,93
Co-op for sale,169.0,1,1,850,Queens County,Jamaica,40.7106599,-73.7986899,5,35
Pending,395.0,3,2,381,Kings County,Dumbo,40.7028922,-73.9860614,3,93
Co-op for sale,445.0,1,1,2184,United States,New York County,40.7488491,-73.9716161,7,76
Townhouse for sale,499.0,3,2,1400,New York,Staten Island,40.633314,-74.145909,0,1
Co-op for sale,449.0,3,1,2184,New York County,Manhattan,40.7568629,-73.9621341,1,4
House for sale,649.0,4,2,1120,New York,Staten Island,40.5694974,-74.1237437,0,1
Co-op for sale,335.0,1,1,756,Kings County,Bay Ridge,40.6273371,-74.0262024,3,37
Multi-family home for sale,838.0,8,4,2184,New York,Queens,40.6880649,-73.7919272,0,11
Condo for sale,1495.0,2,2,1098,Kings County,Dumbo,40.702357,-73.9892037,3,93
Multi-family home for sale,980.0,4,4,3068,New York,The Bronx,40.8129128,-73.8461841,0,16
House for sale,688.0,3,2,1344,New York,Brooklyn,40.5773399,-73.9943294,0,3
Multi-family home for sale,679.0,6,3,2184,New York,Brooklyn,40.6398004,-73.8974592,0,3
Pending,999.888,4,2,1900,New York,Queens,40.7701584,-73.8052147,0,11
Co-op for sale,375.0,1,1,500,New York County,Manhattan,40.7581216,-73.9670704,1,4
House for sale,848.724,2,2,2184,New York,Queens,40.7511112,-73.9089639,0,11
Townhouse for sale,1595.0,3,8,2184,New York,New York,40.8250069,-73.9486453,0,2
Condo for sale,568.0,2,2,1253,Queens County,Rockaway Park,40.5828044,-73.8210807,5,66
Multi-family home for sale,1153.0,4,2,3980,New York,Staten Island,40.5078915,-74.2530332,0,1
Multi-family home for sale,2399.0,10,5,2184,New York,Queens,40.7693956,-73.7708144,0,11
Co-op for sale,349.0,1,1,800,New York,Brooklyn,40.6358249,-73.973308,0,3
Multi-family home for sale,2999.99,5,6,3600,New York,Brooklyn,40.6681258,-73.9897865,0,3
Townhouse for sale,899.0,3,2,1400,New York,Queens,40.7368055,-73.9026152,0,11
Co-op for sale,169.0,1,1,2184,Queens County,Astoria,40.7759232,-73.9087334,5,92
House for sale,449.999,4,3,1217,New York,Staten Island,40.6329023,-74.120945,0,1
Foreclosure,886.545,6,4,2116,New York,Queens,40.6719007,-73.8590006,0,11
Townhouse for sale,495.0,3,2,1280,New York,Staten Island,40.6396483,-74.1151985,0,1
House for sale,749.0,4,3,2150,New York,Staten Island,40.6278109,-74.146957,0,1
House for sale,875.0,4,3,2129,New York,Queens,40.7474641,-73.704456,0,11
Multi-family home for sale,1630.0,11,6,2184,New York,Queens,40.7424172,-73.8842849,0,11
Condo for sale,849.0,2,1,720,New York County,Manhattan,40.761427,-73.982584,1,4
Pending,110.0,1,1,650,Bronx County,North Riverdale,40.906568,-73.8968047,4,13
Pending,299.999,2,1,650,Kings County,East New York,40.657696,-73.8764091,3,57
Co-op for sale,335.0,3,2,2184,Queens County,Bayside,40.7805732,-73.7825806,5,39
Co-op for sale,549.0,3,1,1200,Kings County,Bay Ridge,40.6358323,-74.0291372,3,37
Co-op for sale,445.0,3,2,1250,New York,Brooklyn,40.5871907,-73.9840965,0,3
Contingent,459.0,2,1,1188,New York,Staten Island,40.5019991,-74.2372284,0,1
House for sale,399.998,4,2,1252,New York,Staten Island,40.6171678,-74.0837135,0,1
Pending,999.0,4,2,1957,New York,Brooklyn,40.6248041,-74.0355778,0,3
House for sale,650.0,4,2,1482,New York,Brooklyn,40.6503361,-73.9440072,0,3
House for sale,880.0,3,4,2100,New York,Staten Island,40.551314,-74.1670026,0,1
House for sale,1350.0,5,3,2082,New York,Queens,40.7284032,-73.7803984,0,11
Condo for sale,599.0,2,2,2184,Queens County,Flushing,40.7517561,-73.8344347,5,8
Co-op for sale,225.0,1,1,2184,Queens County,Auburndale,40.7664499,-73.78359,5,117
Co-op for sale,220.0,3,1,2184,New York County,Manhattan,40.8590729,-73.9322176,1,4
Co-op for sale,289.0,3,1,2184,Bronx County,East Bronx,40.8563536,-73.865974,4,49
Pending,350.0,1,1,2184,New York County,Manhattan,40.8099146,-73.9379084,1,4
House for sale,1350.0,5,3,2082,New York,Queens,40.7284032,-73.7803984,0,11
House for sale,880.0,3,4,2100,New York,Staten Island,40.551314,-74.1670026,0,1
House for sale,719.999,3,2,2184,New York,Queens,40.754545,-73.859675,0,11
Condo for sale,1100.0,2,1,807,Kings County,Southside,40.709905,-73.962869,3,118
Co-op for sale,259.0,2,1,950,New York,The Bronx,40.8248699,-73.9229829,0,16
Multi-family home for sale,1699.999,6,3,2754,New York,Brooklyn,40.681189,-73.9146606,0,3
House for sale,669.0,4,2,2184,New York,Queens,40.6729779,-73.7330064,0,11
Condo for sale,549.0,3,2,2184,Queens County,Ozone Park,40.6726474,-73.8499883,5,104
Land for sale,250.0,3,2,2184,New York,The Bronx,40.8453241,-73.8684042,0,16
Co-op for sale,299.0,3,1,2184,New York County,Manhattan,40.8718895,-73.9188667,1,4
House for sale,1288.0,5,2,2184,New York,Queens,40.7886657,-73.8207928,0,11
Multi-family home for sale,1198.0,6,5,2184,New York,Queens,40.6811645,-73.7493264,0,11
House for sale,897.888,3,2,1260,New York,Queens,40.7292895,-73.8945367,0,11
House for sale,575.0,4,2,1604,New York,Brooklyn,40.6740009,-73.8743074,0,3
Co-op for sale,230.0,1,1,2184,Queens County,Douglaston,40.7670699,-73.74642,5,90
Co-op for sale,775.0,1,1,2184,New York County,Manhattan,40.7845412,-73.981249,1,4
Land for sale,250.0,3,2,2184,New York,The Bronx,40.8453241,-73.8684042,0,16
House for sale,575.0,4,2,1604,New York,Brooklyn,40.6740009,-73.8743074,0,3
House for sale,897.888,3,2,1260,New York,Queens,40.7292895,-73.8945367,0,11
Multi-family home for sale,1198.0,6,5,2184,New York,Queens,40.6811645,-73.7493264,0,11
House for sale,1288.0,5,2,2184,New York,Queens,40.7886657,-73.8207928,0,11
House for sale,2100.0,4,3,3512,New York,Queens,40.7974719,-73.8143638,0,11
Co-op for sale,230.0,1,1,2184,Queens County,Douglaston,40.7670699,-73.74642,5,90
House for sale,1080.0,6,3,3600,New York,Staten Island,40.6110496,-74.1309465,0,1
