Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
Co-op for sale,0.14,1,1,2184,Bronx County,Concourse,40.8260352,-73.9256625
Co-op for sale,0.279,1,1,2184,Queens County,Forest Hills,40.7282899,-73.8472
Condo for sale,1.995,2,2,1562,New York County,Manhattan,40.7845327,-73.9789122
Co-op for sale,0.329,2,1,2184,New York,Queens,40.7389649,-73.7774313
Condo for sale,0.75,1,1,943,Kings County,Columbia Street Waterfront District,40.6870254,-74.0004951
Multi-family home for sale,0.99999,6,4,2184,New York,Queens,40.7118837,-73.742941
Co-op for sale,0.43,3,1,2184,New York County,Manhattan,40.7482797,-73.9715473
Contingent,0.349,3,2,1180,Richmond County,Mid Island,40.6195692,-74.1550985
House for sale,0.599,3,2,1052,New York,The Bronx,40.8750212,-73.8547365
Co-op for sale,0.175,1,1,800,Kings County,Sheepshead Bay,40.5980473,-73.9354323
House for sale,0.999,4,4,3570,New York,Staten Island,40.5898663,-74.1515902
Townhouse for sale,1.335,3,2,2184,New York,Brooklyn,40.689193,-73.9397249
House for sale,0.8499990000000001,2,2,1365,New York,Staten Island,40.562056,-74.1052535
Co-op for sale,0.13699899999999998,1,1,750,Bronx County,East Bronx,40.8533818,-73.8651554
Condo for sale,0.699,2,2,1320,Queens County,Rockaway Park,40.5780382,-73.8366684
Co-op for sale,0.329,1,1,2184,New York County,Manhattan,40.8544444,-73.9377977
Co-op for sale,0.825,1,1,750,New York County,Manhattan,40.7468058,-73.9797483
Co-op for sale,0.685,1,1,2184,Kings County,Park Slope,40.6752414,-73.9729777
Co-op for sale,0.189,1,1,2184,Queens County,Jamaica,40.7109831,-73.7970163
Condo for sale,0.408,1,1,787,New York,Brooklyn,40.5856282,-73.9879851
Condo for sale,0.559,1,1,830,Kings County,Brighton Beach,40.5795498,-73.9658695
Pending,0.949,4,4,2920,New York,Staten Island,40.6134167,-74.1334698
Co-op for sale,0.379,2,1,1000,Kings County,Midwood,40.6211681,-73.9559582
Co-op for sale,0.815,1,1,630,New York County,Manhattan,40.7400376,-73.9876681
Co-op for sale,0.599,2,2,1200,Kings County,Fort Hamilton,40.6186895,-74.032363
Co-op for sale,0.28,2,2,975,Bronx County,Fordham Manor,40.8651305,-73.9068012
Multi-family home for sale,0.875,9,6,5712,Kings County,East Flatbush,40.6488068,-73.9293919
Co-op for sale,0.31,2,1,2184,New York,Queens,40.7318363,-73.8270224
Townhouse for sale,1.2999,6,4,2504,New York,Staten Island,40.636611,-74.150256
Condo for sale,2.225,2,2,1420,New York County,Manhattan,40.744042,-73.9755798
Condo for sale,1.53,2,2,1229,Kings County,Southside,40.7102454,-73.9682413
House for sale,0.5949,3,2,1224,New York,Brooklyn,40.63818,-73.9071525
Multi-family home for sale,1.08,8,5,2184,New York,The Bronx,40.8167119,-73.8127515
Pending,1.425,4,3,2184,New York,Queens,40.7719037,-73.8044794
Multi-family home for sale,1.399888,7,4,3682,New York,Brooklyn,40.612845,-73.9182251
Co-op for sale,0.575,2,2,2184,Queens County,Flushing,40.7287304,-73.8540818
Co-op for sale,0.85,1,1,2184,New York County,Manhattan,40.7343573,-74.0073312
Townhouse for sale,1.288,3,2,2184,New York,Brooklyn,40.6208518,-74.0133836
Co-op for sale,0.309,1,2,1074,Queens County,Glen Oaks,40.7577974,-73.7159601
Co-op for sale,0.999,3,1,2184,New York County,Manhattan,40.7983784,-73.9712947
Co-op for sale,0.399,3,2,2184,New York County,Manhattan,40.8102659,-73.9382868
House for sale,0.5549,3,2,1890,New York,The Bronx,40.8849291,-73.8613097
Condo for sale,0.399,1,1,561,Kings County,Sheepshead Bay,40.5839568,-73.9420847
Condo for sale,0.675,2,2,904,New York,Queens,40.7324713,-73.8670804
Co-op for sale,0.225,1,1,2184,Queens County,Whitestone,40.7864852,-73.8017612
Multi-family home for sale,0.999999,3,2,2184,New York,Queens,40.7392278,-73.8677036
Condo for sale,0.164999,3,1,400,Richmond County,Mid Island,40.6449121,-74.0787385
Co-op for sale,0.235,1,1,2184,Queens County,Kew Gardens,40.7123992,-73.8339305
Co-op for sale,0.715,3,1,983,New York County,Manhattan,40.7329326,-73.9858654
Co-op for sale,0.565,2,1,2184,Kings County,Southside,40.7108846,-73.9496434
Townhouse for sale,1.65,7,6,2184,New York,New York,40.8290653,-73.9463359
Co-op for sale,1.2,2,2,1100,Kings County,Windsor Terrace,40.6533033,-73.9730719
Co-op for sale,1.049,2,1,2184,New York County,Manhattan,40.7316025,-74.0100989
House for sale,0.9499,4,2,1680,New York,Staten Island,40.6217558,-74.1413145
Multi-family home for sale,1.199,6,3,2184,New York,Queens,40.711017,-73.8723608
Pending,0.765,4,2,2184,New York,Queens,40.7714061,-73.732929
Co-op for sale,1.049,2,1,2184,New York County,Manhattan,40.7316025,-74.0100989
House for sale,0.9499,4,2,1680,New York,Staten Island,40.6217558,-74.1413145
Multi-family home for sale,1.199,6,3,2184,New York,Queens,40.711017,-73.8723608
Townhouse for sale,0.849,3,2,1296,New York,Queens,40.7149915,-73.8775275
Multi-family home for sale,0.999,4,3,2184,New York,Queens,40.7148444,-73.9102315
Multi-family home for sale,1.28,9,6,2184,New York,Queens,40.7468366,-73.8644973
Pending,1.999,3,4,2840,New York,Brooklyn,40.5789619,-73.9430773
Co-op for sale,0.56,1,1,700,New York County,Manhattan,40.7467649,-73.976998
Multi-family home for sale,1.45,5,4,3252,New York,Staten Island,40.5504262,-74.186404
Multi-family home for sale,1.599,5,3,2424,New York,Brooklyn,40.6062747,-73.9157858
Co-op for sale,0.255,1,1,650,Queens County,Forest Hills,40.7291499,-73.84944
Co-op for sale,0.995,2,2,2184,New York County,Manhattan,40.747844,-74.00189
Co-op for sale,0.995,2,2,2184,New York County,Manhattan,40.747844,-74.00189
Co-op for sale,0.569,2,2,2184,Queens County,Rego Park,40.7337965,-73.8620837
Co-op for sale,0.398,3,1,2184,Queens County,Astoria,40.7753841,-73.90928
House for sale,0.799999,3,4,2337,New York,Staten Island,40.513375,-74.202668
Pending,0.758888,4,2,2184,New York,Queens,40.7479833,-73.8746835
House for sale,0.6199990000000001,3,2,2184,New York,Brooklyn,40.6603335,-73.9008479
Condo for sale,0.198,1,1,1000,New York,Staten Island,40.6189484,-74.1071576
House for sale,0.485,2,1,560,New York,Brooklyn,40.585215,-73.937245
House for sale,0.859,3,2,2184,New York,Brooklyn,40.621997,-73.905326
Co-op for sale,0.359,2,1,2184,Queens County,Bayside,40.7838199,-73.78072
Co-op for sale,0.725,2,2,2184,Queens County,Jackson Heights,40.7512999,-73.88932
Co-op for sale,0.575,2,1,2184,Queens County,Sunnyside,40.7493599,-73.91745
Multi-family home for sale,1.288,5,5,2500,New York,Queens,40.7374104,-73.9002424
House for sale,0.589,2,2,1808,New York,Staten Island,40.5383835,-74.1433088
Co-op for sale,0.239,1,1,2184,Queens County,Forest Hills,40.7318103,-73.8443526
Townhouse for sale,2.05,7,4,5200,New York,New York,40.8003622,-73.9373581
Co-op for sale,0.259,3,1,250,New York County,Manhattan,40.750236,-73.9707571
Co-op for sale,0.9,2,2,2184,New York County,Manhattan,40.7819299,-73.9807097
Co-op for sale,0.219,3,1,550,Kings County,Midwood,40.621071,-73.969227
Condo for sale,1.795,3,2,1773,New York County,Manhattan,40.810446,-73.943187
Multi-family home for sale,2.29,4,5,2184,New York,Queens,40.7869532,-73.7833849
Condo for sale,0.699,2,2,1519,New York County,Manhattan,40.8163359,-73.9434447
House for sale,0.998,3,2,2184,New York,Queens,40.7288044,-73.7772174
House for sale,1.1,3,2,2184,New York,Brooklyn,40.6143817,-73.9525027
Multi-family home for sale,2.1988879999999997,11,6,2184,New York,Queens,40.7047192,-73.9112269
Co-op for sale,0.425,3,2,1300,Queens County,Forest Hills,40.7379227,-73.8470718
Co-op for sale,0.279999,1,1,790,Kings County,Sheepshead Bay,40.5844399,-73.9316116
House for sale,0.715,3,2,2184,New York,Queens,40.6951138,-73.8648093
Condo for sale,0.98,3,3,1574,Kings County,Gravesend,40.6050673,-73.9776246
Multi-family home for sale,0.949,6,3,2184,New York,Queens,40.7099626,-73.7608766
Co-op for sale,1.6,4,2,2350,New York County,Manhattan,40.7048255,-74.0118183
Co-op for sale,0.64,2,1,2184,United States,New York County,40.7301239,-73.9834424
Multi-family home for sale,1.2999990000000001,7,5,2184,Kings County,Flatlands,40.627685,-73.918487
Co-op for sale,0.25,1,2,740,United States,The Bronx,40.9127295,-73.9022248
Pending,1.188,3,2,2184,New York,Queens,40.7199051,-73.7781913
Multi-family home for sale,1.35,7,4,2800,New York,Queens,40.7424208,-73.8687143
Contingent,0.725,3,2,1498,New York,Staten Island,40.5887531,-74.1613951
Co-op for sale,0.309,1,1,850,Queens County,Forest Hills,40.7291499,-73.84944
House for sale,0.914999,4,2,2184,New York,Queens,40.790645,-73.846559
Condo for sale,0.6,3,1,2184,New York County,Manhattan,40.7602412,-73.9954328
House for sale,1.75,4,3,3225,New York,Brooklyn,40.633166,-74.0303565
Condo for sale,0.95,3,2,1401,Kings County,Gravesend,40.6050673,-73.9776246
Multi-family home for sale,0.85,5,3,2184,New York,Brooklyn,40.6742588,-73.8767881
House for sale,1.05,3,2,1870,New York,The Bronx,40.8325495,-73.8167031
Condo for sale,1.39,4,3,1950,Kings County,Mapleton,40.6259793,-73.9821859
Co-op for sale,0.4,3,1,2184,New York County,Manhattan,40.7257358,-74.0017575
House for sale,0.75,3,2,2184,New York,Queens,40.6743844,-73.8184378
Co-op for sale,0.529,2,2,1200,Queens County,Elmhurst,40.7438826,-73.8873872
House for sale,1.3288879999999998,3,2,1440,New York,Brooklyn,40.6094603,-73.9831636
Townhouse for sale,0.478888,2,2,1159,New York,Staten Island,40.5872305,-74.1641299
Condo for sale,1.35,1,1,850,New York County,Manhattan,40.7711516,-73.9646688
Co-op for sale,2.25,2,2,2184,New York County,Manhattan,40.7373809,-74.0040989
House for sale,0.728,2,1,1440,New York,Queens,40.7731565,-73.8027586
Co-op for sale,0.2399,1,1,2184,New York,Queens,40.7828417,-73.8000905
Condo for sale,2.095,2,2,1600,New York County,Manhattan,40.7603031,-73.9610497
Co-op for sale,0.1999,3,1,550,Queens County,Forest Hills,40.7291499,-73.84944
Co-op for sale,2.5,3,3,2184,New York County,Manhattan,40.7821377,-73.9824061
Multi-family home for sale,1.399999,4,4,2776,New York,Staten Island,40.5365656,-74.1839422
House for sale,2.3,3,2,2800,New York,Queens,40.7903373,-73.8420291
House for sale,0.735,3,2,2184,New York,Queens,40.6787631,-73.8121482
Co-op for sale,0.39999,2,1,1000,Queens County,Flushing,40.7213566,-73.8414009
Multi-family home for sale,0.85,3,3,2646,New York,Brooklyn,40.5786954,-73.9626508
Co-op for sale,0.215,3,1,625,Queens,98th Place,40.7318415,-73.8574816
Co-op for sale,0.1999,3,1,550,Queens County,Forest Hills,40.7291499,-73.84944
Co-op for sale,0.13,1,1,720,Bronx County,East Bronx,40.8527259,-73.8670374
Co-op for sale,1.195,3,2,2184,New York County,Manhattan,40.7992102,-73.9695499
Co-op for sale,0.679,1,1,2184,New York County,Manhattan,40.853549,-73.9392769
Contingent,0.299998,2,1,1200,Richmond County,Rosebank,40.608288,-74.07426
Condo for sale,0.69,2,2,942,Kings County,Bensonhurst,40.6088021,-73.9805695
Co-op for sale,0.185,2,1,854,Kings County,Sheepshead Bay,40.5977235,-73.9352176
Pending,0.859,3,2,2184,New York,Queens,40.7339078,-73.845842
Multi-family home for sale,0.928888,4,2,1480,New York,Queens,40.787297,-73.848086
Condo for sale,0.78,2,2,955,Queens County,Flushing,40.7565584,-73.8317042
House for sale,1.19,3,2,1360,New York,Brooklyn,40.6214197,-74.0328467
Co-op for sale,1.4,2,2,2184,New York County,Manhattan,40.7776749,-73.9829506
Co-op for sale,0.599,2,1,1100,New York County,Manhattan,40.7487581,-73.9782786
Condo for sale,0.639999,3,2,1180,Bronx County,Kingsbridge,40.8874214,-73.9034179
Co-op for sale,0.799,1,1,2184,New York County,Manhattan,40.7536573,-73.9975607
House for sale,0.749,3,2,1600,New York,Staten Island,40.544867,-74.159159
Pending,0.599,2,3,2184,New York County,Manhattan,40.768983,-73.987526
House for sale,2.235,3,4,2750,New York,Brooklyn,40.577846,-73.946577
House for sale,0.62,3,2,1400,New York,The Bronx,40.8464353,-73.8358298
Co-op for sale,1.695,4,4,2184,New York County,Manhattan,40.7088048,-74.009407
Condo for sale,1.999999,3,2,1865,New York,Brooklyn,40.7213959,-73.9430921
Condo for sale,1.15,2,2,1850,Queens County,Bayside,40.7878758,-73.786717
Co-op for sale,0.339,2,1,822,New York,The Bronx,40.8224967,-73.8110903
House for sale,1.39,5,2,2184,New York,Queens,40.7358829,-73.8988063
House for sale,0.938,3,2,1836,New York,Queens,40.772306,-73.8896045
House for sale,0.919,6,3,5400,New York,Brooklyn,40.6410944,-73.9490931
Co-op for sale,0.425,3,2,1150,Bronx County,Hudson Hill,40.8952914,-73.9089308
Multi-family home for sale,1.249,5,2,2184,New York,Brooklyn,40.6756643,-73.8687143
Co-op for sale,0.799,2,2,1000,New York County,Manhattan,40.7490288,-73.9719957
Co-op for sale,0.475,1,1,750,Kings County,Brooklyn Heights,40.6939582,-73.9943695
Co-op for sale,0.325,3,1,1200,Kings County,Sheepshead Bay,40.590397,-73.935927
Condo for sale,1.2,2,2,1200,New York County,Manhattan,40.7069134,-74.0085778
Condo for sale,1.15,2,2,2184,New York County,Manhattan,40.7081041,-74.0074731
House for sale,2.4,4,4,3424,New York,Brooklyn,40.6727282,-73.9497962
House for sale,0.769,3,2,2184,New York,Queens,40.7061049,-73.8263931
Multi-family home for sale,1.86,6,4,2184,New York,Queens,40.7832802,-73.8149701
Condo for sale,1.25,2,2,1257,Queens County,Flushing,40.7561213,-73.8368085
Co-op for sale,0.22,1,1,750,New York,Queens,40.7554479,-73.7319604
Multi-family home for sale,1.1799870000000001,5,4,4143,New York,Staten Island,40.515005,-74.235135
Multi-family home for sale,0.949,7,6,3733,New York,The Bronx,40.8282987,-73.91272
House for sale,0.92,5,4,2184,New York,Brooklyn,40.6502862,-73.9343518
Contingent,0.699,3,2,1312,New York,Staten Island,40.5513508,-74.1356934
House for sale,0.649,3,3,1456,New York,Staten Island,40.5972983,-74.1347274
Condo for sale,1.175,1,2,1070,New York County,Manhattan,40.7622732,-73.9767193
House for sale,0.995,2,2,800,New York,Brooklyn,40.603454,-73.9756682
Condo for sale,1.595,3,2,1375,Kings County,Greenpoint,40.7361991,-73.9538716
Co-op for sale,0.435,3,1,2184,New York County,Manhattan,40.7257358,-74.0017575
House for sale,0.649,3,3,1456,New York,Staten Island,40.5972983,-74.1347274
House for sale,0.995,2,2,800,New York,Brooklyn,40.603454,-73.9756682
Condo for sale,1.338,3,2,2082,Richmond County,Mid Island,40.6403656,-74.0737574
House for sale,0.499,2,2,1146,New York,The Bronx,40.8955154,-73.8510754
Multi-family home for sale,2.28,6,5,2184,New York,Queens,40.7603734,-73.7918178
House for sale,0.66,3,2,2184,New York,Brooklyn,40.6574259,-73.8808077
Co-op for sale,0.349,2,1,800,Kings County,Sheepshead Bay,40.5844399,-73.9316116
House for sale,0.16,2,1,900,New York,Staten Island,40.6281757,-74.1797234
Condo for sale,0.37,3,1,462,Kings County,Homecrest,40.6096365,-73.9544149
Co-op for sale,0.6,1,1,715,New York County,Manhattan,40.8043692,-73.964408
Condo for sale,1.95,2,2,1000,New York County,Manhattan,40.7805098,-73.9523992
Co-op for sale,2.0,3,2,1800,New York County,Manhattan,40.7737882,-73.9551436
Multi-family home for sale,1.250828,7,2,2184,New York,Queens,40.7063804,-73.9009749
House for sale,1.149,4,3,1800,New York,Brooklyn,40.6644629,-73.951745
Co-op for sale,0.32999900000000004,2,1,950,Bronx County,East Bronx,40.8214206,-73.8759785
Co-op for sale,0.39,2,1,1100,New York,Queens,40.7155654,-73.8311146
Co-op for sale,0.4,3,1,2184,New York County,Manhattan,40.7770746,-73.9824749
Co-op for sale,0.239,1,1,700,Kings County,Manhattan Beach,40.5782536,-73.9534785
Multi-family home for sale,1.188888,4,2,2184,New York,Queens,40.7427492,-73.8333091
Co-op for sale,0.567,3,2,2184,Queens County,Rego Park,40.7318958,-73.8599645
Co-op for sale,0.189,3,1,2184,Queens County,Jackson Heights,40.7525699,-73.87724
House for sale,0.985,3,2,2184,New York,Queens,40.7181351,-73.7934614
Co-op for sale,0.839,3,2,1120,New York County,Manhattan,40.8501059,-73.9387857
Co-op for sale,0.995,3,2,2184,New York County,Manhattan,40.7540096,-73.9637466
Condo for sale,1.439,4,2,1625,Kings County,Bedford-Stuyvesant,40.6972584,-73.9569997
Co-op for sale,0.379,2,1,900,Queens County,Flushing,40.7282764,-73.8208847
Condo for sale,1.439,4,2,1625,Kings County,Bedford-Stuyvesant,40.6972584,-73.9569997
Multi-family home for sale,1.245,5,2,1800,New York,Queens,40.7085881,-73.8934355
Townhouse for sale,1.995,4,4,2184,New York,Brooklyn,40.670429,-73.9411141
Multi-family home for sale,0.365,4,3,1600,New York,Staten Island,40.6352888,-74.090616
Condo for sale,0.95,2,2,1025,New York,Queens,40.7669131,-73.9342893
Condo for sale,0.209,1,1,658,Bronx County,Parkchester,40.8391003,-73.8566691
Pending,1.39,5,4,1992,New York,Brooklyn,40.6302066,-73.962272
Co-op for sale,0.429,2,1,850,New York,Brooklyn,40.617623,-74.038637
House for sale,0.95,1,1,2184,New York County,Manhattan,40.751918,-73.9698335
House for sale,0.699,3,3,2835,New York,Brooklyn,40.6324811,-73.9306778
Condo for sale,0.45,1,1,724,Kings County,Homecrest,40.610069,-73.9537478
House for sale,1.19,4,2,1500,New York,Brooklyn,40.5935138,-73.9556712
Condo for sale,0.34998,3,1,2184,Queens County,Flushing,40.7187728,-73.811168
Contingent,0.339,1,1,693,Richmond County,Great Kills,40.5475295,-74.1568654
House for sale,0.649,3,2,1257,New York,Brooklyn,40.6499215,-73.9453734
Co-op for sale,0.189999,1,1,2184,Queens County,East Elmhurst,40.7586799,-73.8755
Co-op for sale,0.189999,1,1,2184,Queens County,East Elmhurst,40.7586799,-73.8755
House for sale,0.699,3,3,2835,New York,Brooklyn,40.6324811,-73.9306778
Condo for sale,0.34998,3,1,2184,Queens County,Flushing,40.7187728,-73.811168
House for sale,0.39988799999999997,3,4,1613,New York,The Bronx,40.8865894,-73.8585038
Pending,1.1999000000000002,4,4,2393,New York,Staten Island,40.5477774,-74.160225
Condo for sale,1.395,3,4,2472,New York County,Manhattan,40.8150812,-73.9533178
Co-op for sale,0.399,1,1,2184,Queens County,Flushing,40.7282586,-73.8513251
Co-op for sale,0.65,2,1,1060,New York County,Manhattan,40.8511616,-73.9408472
Townhouse for sale,1.195,4,2,2625,New York,Brooklyn,40.685396,-73.959061
House for sale,1.288,3,2,1188,New York,Brooklyn,40.6229377,-74.0298947
Condo for sale,2.099,2,2,1447,Kings County,Downtown Brooklyn,40.7019045,-73.9844236
Multi-family home for sale,1.275,5,3,1920,New York,Brooklyn,40.6512263,-74.0131317
Multi-family home for sale,1.999999,12,6,2184,Kings County,Williamsburg,40.7142948,-73.9448148
Co-op for sale,0.65,1,1,2184,New York County,Manhattan,40.762566,-73.9667017
Multi-family home for sale,1.2799,3,2,3812,New York,New York,40.8062253,-73.9393116
Multi-family home for sale,1.68,7,4,3780,New York,Queens,40.785705,-73.778612
Co-op for sale,0.299,1,1,850,Queens County,Flushing,40.7313319,-73.8284665
Co-op for sale,0.845,1,1,2184,New York County,Manhattan,40.7659315,-73.9773407
Co-op for sale,0.415,3,1,2184,New York County,Manhattan,40.7678195,-73.9594251
Co-op for sale,0.449,1,2,1213,Queens County,Queens Village,40.7564761,-73.7212008
Condo for sale,1.25,3,2,1287,Kings County,Downtown Brooklyn,40.6925905,-73.9849373
Co-op for sale,0.315,1,1,2184,Queens County,Jackson Heights,40.7507495,-73.8811907
Co-op for sale,0.499,2,1,900,Kings County,Bay Ridge,40.6273371,-74.0262024
House for sale,0.699,3,2,1700,New York,Staten Island,40.545028,-74.218133
Condo for sale,0.625,4,2,1268,Kings County,Little Caribbean,40.6634769,-73.936924
House for sale,0.749,3,2,2184,New York,Queens,40.7602045,-73.8739584
Multi-family home for sale,0.949,4,2,1600,New York,Brooklyn,40.6452346,-73.9569371
Co-op for sale,1.495,3,1,2184,Kings County,Park Slope,40.670754,-73.981349
Townhouse for sale,2.395,6,4,3972,New York,New York,40.8351954,-73.9390016
Condo for sale,0.625,4,2,1268,Kings County,Little Caribbean,40.6634769,-73.936924
House for sale,1.25,3,4,3328,New York,Staten Island,40.619844,-74.0889182
House for sale,0.749,3,2,2184,New York,Queens,40.7602045,-73.8739584
Co-op for sale,0.205,1,1,2184,Bronx County,Spuyten Duyvil,40.8801731,-73.91173
Condo for sale,1.198,1,2,2184,Queens County,Astoria,40.7749092,-73.9098235
House for sale,2.199,3,3,3454,New York,Brooklyn,40.5782802,-73.9442713
Co-op for sale,0.625,1,1,2184,New York County,Manhattan,40.7669715,-73.9674377
House for sale,1.449999,3,2,1890,New York,Brooklyn,40.6783124,-73.928113
House for sale,1.399,5,4,2184,New York,Queens,40.7326463,-73.7097434
Co-op for sale,0.525,3,1,322,New York County,Manhattan,40.7836703,-73.9709274
House for sale,1.299,3,2,1700,New York,Brooklyn,40.622512,-74.038316
Co-op for sale,0.269,1,1,2184,Queens County,Jackson Heights,40.7490728,-73.8859424
Co-op for sale,0.45,1,1,2184,New York County,Manhattan,40.777093,-73.956552
Multi-family home for sale,0.899999,4,2,2194,New York,Staten Island,40.6172199,-74.1320669
House for sale,0.925,2,2,1077,New York,Brooklyn,40.6764806,-73.9446731
Co-op for sale,0.279,1,1,600,Kings County,Dyker Heights,40.6220567,-74.0200513
Condo for sale,1.795,2,2,2184,New York County,Manhattan,40.7954592,-73.9753123
Pending,1.25,2,2,2184,New York County,Manhattan,40.7385938,-73.9863188
Condo for sale,0.56,3,1,622,Kings County,Sunset Park,40.6423834,-74.002033
House for sale,0.999,3,2,1260,New York,Queens,40.5792491,-73.8470867
Multi-family home for sale,1.188,6,2,2186,New York,Queens,40.7021006,-73.7671144
House for sale,0.9488880000000001,3,1,950,New York,Brooklyn,40.5786958,-73.938485
Condo for sale,0.735,2,2,832,Kings County,Bushwick,40.6850765,-73.9107349
Multi-family home for sale,1.399,13,5,2184,Kings County,East Flatbush,40.6550656,-73.9183469
Multi-family home for sale,1.85,8,4,5000,New York,New York,40.7981001,-73.9389098
Co-op for sale,0.789,2,1,2184,New York County,Manhattan,40.7432035,-74.0015019
House for sale,0.569,3,1,2184,New York,Queens,40.7079268,-73.7400399
Condo for sale,1.7,2,2,1135,New York County,Manhattan,40.7315509,-74.0013914
Co-op for sale,0.295,2,1,613,New York County,Manhattan,40.8233518,-73.9515728
Co-op for sale,0.625,1,1,650,New York County,Manhattan,40.7395218,-73.9802307
Condo for sale,0.399,3,1,391,New York,Queens,40.7668236,-73.9239725
Condo for sale,0.618,3,2,2184,Kings County,Sheepshead Bay,40.5846429,-73.9407155
Co-op for sale,0.149999,1,1,694,Bronx County,North Riverdale,40.9049984,-73.9065719
Condo for sale,0.65,3,1,550,New York County,Manhattan,40.7935585,-73.9656011
Multi-family home for sale,1.99,5,2,2184,New York,Queens,40.7398861,-73.8305343
Co-op for sale,0.55,1,1,2184,New York County,Manhattan,40.7908539,-73.9681725
Co-op for sale,0.279,1,1,2184,Bronx County,Spuyten Duyvil,40.8809305,-73.9107494
Co-op for sale,0.399,2,1,1090,Queens County,Elmhurst,40.7455899,-73.8778899
Townhouse for sale,2.495,3,2,4125,New York,Brooklyn,40.7043492,-73.9310947
Co-op for sale,0.299,3,1,394,New York County,Manhattan,40.7571764,-73.9656764
Condo for sale,0.2395,1,1,864,Richmond County,Mid Island,40.6414367,-74.0802253
Co-op for sale,0.235,1,1,850,The Bronx,Oxford Avenue,40.8858375,-73.9088586
House for sale,0.68,1,1,2184,New York County,Manhattan,40.7810446,-73.9519172
House for sale,0.629,3,3,1280,New York,Staten Island,40.6086959,-74.0859469
Pending,1.039,3,2,2300,New York,Brooklyn,40.6049171,-74.0166722
House for sale,2.2,3,2,3760,New York,Staten Island,40.5450461,-74.1858995
House for sale,0.38,3,2,600,New York,Brooklyn,40.6789407,-73.8712984
Co-op for sale,0.599,2,2,2184,Queens County,Forest Hills,40.7230099,-73.84699
Townhouse for sale,0.53,3,2,1280,New York,Staten Island,40.6155659,-74.0802854
Condop for sale,0.598,1,1,2184,New York County,Manhattan,40.7520734,-73.9690003
Condo for sale,1.449,4,2,1632,New York,Brooklyn,40.6990196,-73.9587153
Co-op for sale,0.459,1,1,2184,Kings County,Crown Heights,40.677099,-73.9444709
Pending,0.825,5,2,2184,New York,Staten Island,40.6033161,-74.1679729
Condo for sale,0.745,2,2,2184,Kings County,Bedford-Stuyvesant,40.6886854,-73.9402301
Co-op for sale,0.44,2,1,2184,Queens County,Flushing,40.7499534,-73.8912443
Land for sale,0.3999,3,2,2184,New York,Staten Island,40.5771876,-74.0829699
Condo for sale,0.99,1,1,791,New York County,Manhattan,40.7804721,-73.9871434
Land for sale,0.3999,3,2,2184,New York,Staten Island,40.5771876,-74.0829699
Multi-family home for sale,1.15,4,3,2184,New York,Queens,40.7569734,-73.8811062
Condo for sale,0.99,1,1,791,New York County,Manhattan,40.7804721,-73.9871434
Condo for sale,2.3,1,2,1100,New York County,Manhattan,40.7761296,-73.960619
Condo for sale,0.35,1,1,738,Richmond County,New Springville,40.5781826,-74.1626869
Multi-family home for sale,1.9,5,4,3640,New York,New York,40.8188422,-73.9456834
Multi-family home for sale,2.498,6,6,3184,New York,Queens,40.7644884,-73.7660572
Pending,0.995,5,2,2128,New York,Brooklyn,40.6631136,-73.9544199
Contingent,0.193999,3,1,435,Richmond County,Bay Terrace,40.5559755,-74.1387681
Co-op for sale,0.245,3,1,713,New York,Queens,40.7379227,-73.8470718
House for sale,0.849,3,3,2184,United States,Kings County,40.5868122,-73.9890289
Condo for sale,0.5,1,2,2184,New York,Brooklyn,40.6586064,-73.9488175
Condo for sale,1.895,3,2,1929,New York County,Manhattan,40.7647904,-73.9890812
Co-op for sale,0.1899,1,1,600,Kings County,Gravesend,40.5941381,-73.963948
Multi-family home for sale,0.999,5,4,1980,New York,The Bronx,40.8232894,-73.8169443
Condo for sale,2.195,3,2,1708,New York County,Manhattan,40.7629604,-73.9705452
Multi-family home for sale,1.26,7,2,2000,New York,Brooklyn,40.6186892,-73.9952499
Co-op for sale,0.675,1,1,2184,New York County,Manhattan,40.7443659,-74.0025913
Pending,0.225,2,1,600,New York County,Manhattan,40.8375103,-73.9407123
Co-op for sale,0.229,1,1,650,Kings County,Bay Ridge,40.6308291,-74.0250165
Multi-family home for sale,1.275,6,5,2500,New York,Staten Island,40.5423923,-74.1955899
Co-op for sale,0.85,2,2,2184,Kings County,Downtown Brooklyn,40.6965776,-73.9883987
House for sale,0.45,4,3,2184,New York,The Bronx,40.8904909,-73.8606171
Multi-family home for sale,0.95,3,2,2184,New York,Queens,40.7689418,-73.8785452
House for sale,0.73,4,3,1648,New York,Queens,40.6987,-73.761794
Condo for sale,0.83,2,2,2184,Queens County,Bayside,40.7624173,-73.7710902
House for sale,0.829,5,4,2184,New York,Queens,40.6935674,-73.7855565
Condo for sale,0.555,3,1,2184,New York County,Manhattan,40.7835114,-73.9776775
House for sale,0.888,4,2,2184,New York,Queens,40.7367436,-73.7039037
Multi-family home for sale,1.149,6,3,2600,New York,Queens,40.5781241,-73.8449946
Pending,0.648,3,2,2112,New York,Staten Island,40.5395578,-74.1795806
Condo for sale,0.499,2,1,825,Kings County,Fort Hamilton,40.620502,-74.0396973
Condo for sale,0.45,2,1,1249,Queens County,Arverne,40.5894946,-73.7896353
